seed,treatment,alpha_fijo,mae_fijo,accuracy_fijo,alpha_calibrado,mae_calibrado,accuracy_calibrado,iteraciones,vocabulario,modelo_embeddings,dimension
0,tfidf,0.01,0.48353737592697144,0.5225775837898254,0.553150979474834,0.47817885875701904,0.571495771408081,500,6581.0,,
0,embeddings,0.01,0.49965307116508484,0.4901222884654999,0.5139648452953807,0.47576355934143066,0.5827845931053162,500,,sentence-transformers/distiluse-base-multilingual-cased-v1,512.0
1,tfidf,0.01,0.48430097103118896,0.5089369416236877,0.573183349656351,0.47805336117744446,0.5691439509391785,500,6589.0,,
1,embeddings,0.01,0.49289676547050476,0.5112888216972351,0.5327323971522157,0.4708113968372345,0.5987770557403564,500,,sentence-transformers/distiluse-base-multilingual-cased-v1,512.0
2,tfidf,0.01,0.48346590995788574,0.5216368436813354,0.17632110269957826,0.48056697845458984,0.5663217306137085,500,6617.0,,
2,embeddings,0.01,0.49131089448928833,0.5192850232124329,0.16388338031522026,0.4828645586967468,0.5503292679786682,500,,sentence-transformers/distiluse-base-multilingual-cased-v1,512.0
3,tfidf,0.01,0.4871799051761627,0.5079962611198425,1.8885237056142237,0.4740600883960724,0.5936030149459839,500,6572.0,,
3,embeddings,0.01,0.4994507431983948,0.5136406421661377,1.754502300032232,0.4502745568752289,0.6462841033935547,500,,sentence-transformers/distiluse-base-multilingual-cased-v1,512.0
4,tfidf,0.01,0.4856496751308441,0.5197554230690002,3.275878577884459,0.4727981984615326,0.5917215347290039,500,6617.0,,
4,embeddings,0.01,0.4948137402534485,0.5094073414802551,3.043390239885619,0.43828293681144714,0.6547507047653198,500,,sentence-transformers/distiluse-base-multilingual-cased-v1,512.0
5,tfidf,0.01,0.48566827178001404,0.5075258612632751,2.2548974513436333,0.47455596923828125,0.5983066558837891,500,6579.0,,
5,embeddings,0.01,0.5000691413879395,0.49576669931411743,2.0952314816026356,0.44998699426651,0.6284101605415344,500,,sentence-transformers/distiluse-base-multilingual-cased-v1,512.0
6,tfidf,0.01,0.4853978455066681,0.5202257633209229,1.887364290048075,0.4750812351703644,0.5757290720939636,500,6569.0,,
6,embeddings,0.01,0.4992378354072571,0.50282222032547,1.7540838797638147,0.45224717259407043,0.6359360218048096,500,,sentence-transformers/distiluse-base-multilingual-cased-v1,512.0
7,tfidf,0.01,0.486175000667572,0.5084666013717651,3.3982669146772233,0.4710143804550171,0.5785512924194336,500,6530.0,,
7,embeddings,0.01,0.5004174113273621,0.5023518204689026,3.1590183123649767,0.43733274936676025,0.6523988842964172,500,,sentence-transformers/distiluse-base-multilingual-cased-v1,512.0
8,tfidf,0.01,0.49011844396591187,0.5126999020576477,3.1834856782114684,0.4754205644130707,0.5832549333572388,500,6590.0,,
8,embeddings,0.01,0.49347078800201416,0.5192850232124329,2.958944164208879,0.438384473323822,0.6552210450172424,500,,sentence-transformers/distiluse-base-multilingual-cased-v1,512.0
9,tfidf,0.01,0.48609626293182373,0.5061147809028625,0.12674298814976284,0.48228809237480164,0.5587958693504333,500,6617.0,,
9,embeddings,0.01,0.49676626920700073,0.49717777967453003,0.11783271643970696,0.49013981223106384,0.5253998041152954,500,,sentence-transformers/distiluse-base-multilingual-cased-v1,512.0
10,tfidf,0.01,0.48629286885261536,0.5084666013717651,0.8151500652133419,0.4787818491458893,0.5667920708656311,500,6557.0,,
10,embeddings,0.01,0.4987410604953766,0.5004703402519226,0.7575900461047328,0.4687514007091522,0.6053621768951416,500,,sentence-transformers/distiluse-base-multilingual-cased-v1,512.0
11,tfidf,0.01,0.48530182242393494,0.5108184218406677,0.5916963370095363,0.4788183569908142,0.5719661116600037,500,6614.0,,
11,embeddings,0.01,0.4927782118320465,0.5253998041152954,0.5499491287890044,0.46894222497940063,0.603010356426239,500,,sentence-transformers/distiluse-base-multilingual-cased-v1,512.0
12,tfidf,0.01,0.4808461666107178,0.530573844909668,0.6568514730113593,0.4755803942680359,0.5921918749809265,500,6606.0,,
12,embeddings,0.01,0.49904823303222656,0.497648149728775,0.6108704235252398,0.4723161458969116,0.5907807946205139,500,,sentence-transformers/distiluse-base-multilingual-cased-v1,512.0
13,tfidf,0.01,0.49057796597480774,0.5103480815887451,3.2739891708068796,0.4760691523551941,0.5677328109741211,500,6616.0,,
13,embeddings,0.01,0.49919185042381287,0.5056443810462952,3.0430649526601385,0.43452587723731995,0.6679209470748901,500,,sentence-transformers/distiluse-base-multilingual-cased-v1,512.0
14,tfidf,0.01,0.4845230281352997,0.5249294638633728,1.6164566846246433,0.47529512643814087,0.5870178937911987,500,6599.0,,
14,embeddings,0.01,0.5002543926239014,0.49435558915138245,1.5019955332806934,0.45122072100639343,0.6411100625991821,500,,sentence-transformers/distiluse-base-multilingual-cased-v1,512.0
15,tfidf,0.01,0.48833051323890686,0.5150517225265503,1.3922827728752813,0.4787312150001526,0.5649106502532959,500,6564.0,,
15,embeddings,0.01,0.5047832727432251,0.48400750756263733,1.293540025529306,0.45857250690460205,0.633584201335907,500,,sentence-transformers/distiluse-base-multilingual-cased-v1,512.0
